date,ndx_close,dca_amount,shares_bought,cumulative_invested,cumulative_shares,market_value,pnl,return_rate
2026-07-10,29825.110000,9500,0.318524,9500.000000,0.318524,9500.013338,0.013338,0.000140
2026-07-17,28592.660000,9500,0.332253,19000.000000,0.650777,18607.445497,-392.554503,-2.066076
2026-07-22,28998.100000,9500,0.327608,28500.000000,0.978385,28371.306068,-128.693932,-0.451558
2026-07-23,28454.810000,9500,0.333863,38000.000000,1.312248,37339.767513,-660.232487,-1.737454
2026-07-24,28128.340000,9500,0.337738,47500.000000,1.649986,46411.367203,-1088.632797,-2.291859
2026-07-27,28039.210000,9500,0.338811,57000.000000,1.988797,55764.296730,-1235.703270,-2.167900
2026-07-28,27763.130000,9500,0.342180,66500.000000,2.330977,64715.217478,-1784.782522,-2.683883
2026-07-29,27192.310000,9500,0.349363,76000.000000,2.680340,72884.636185,-3115.363815,-4.099163
2026-07-30,28106.350000,9500,0.338002,85500.000000,3.018342,84834.576672,-665.423328,-0.778273
2026-07-31,28274.200000,9500,0.335995,95000.000000,3.354337,94841.195205,-158.804795,-0.167163
2026-08-03,28392.350000,9500,0.334597,104500.000000,3.688934,104737.505255,237.505255,0.227278
2026-08-04,29733.160000,7000,0.235427,111500.000000,3.924361,116683.653511,5183.653511,4.649017
2026-08-05,29487.790000,9500,0.322167,121000.000000,4.246528,125220.725893,4220.725893,3.488203
2026-08-06,29373.330000,9500,0.323423,130500.000000,4.569951,134234.678807,3734.678807,2.861823
2026-08-07,29722.300000,7000,0.235513,137500.000000,4.805464,142829.454607,5329.454607,3.875967
